 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"150178 Breu Branco";4;13;4;6;10;3;9;2;3;9;63
"150180 Breves";3;2;3;3;3;8;4;6;3;-;35
"150190 Bujaru";3;-;2;2;2;5;6;2;6;-;28
"150200 Cachoeira do Arari";-;-;-;12;1;-;3;2;2;2;22
"150195 Cachoeira do Piriá";1;2;3;3;2;3;3;6;3;5;31
"150210 Cametá";5;6;13;10;5;12;16;16;10;13;106
"150215 Canaã dos Carajás";8;14;14;21;21;15;18;15;8;12;146
"150220 Capanema";9;12;24;5;10;18;12;18;9;12;129
"150230 Capitão Poço";13;13;7;6;3;8;10;15;15;7;97
"150240 Castanhal";40;40;42;39;55;31;49;36;34;35;401
"150250 Chaves";-;-;-;-;-;2;-;-;-;-;2
"150260 Colares";1;-;1;1;1;-;1;-;-;2;7
"150270 Conceição do Araguaia";5;14;5;15;7;12;10;5;9;4;86
"150275 Concórdia do Pará";1;2;3;3;3;3;4;6;1;7;33
"150276 Cumaru do Norte";3;3;2;1;1;1;2;2;3;-;18
"150277 Curionópolis";4;10;20;13;10;8;6;5;6;5;87
"150285 Curuá";-;-;-;1;6;-;1;1;3;2;14
"150290 Curuçá";6;5;5;5;1;3;2;8;5;3;43
"150293 Dom Eliseu";14;13;9;26;12;19;16;12;15;7;143
"150295 Eldorado do Carajás";18;15;13;20;11;27;15;15;11;10;155
"150300 Faro";1;-;-;-;-;-;-;-;-;-;1
"150304 Floresta do Araguaia";5;4;7;5;10;3;10;12;6;6;68
"150307 Garrafão do Norte";3;2;7;4;11;12;15;8;2;5;69
"150309 Goianésia do Pará";18;10;12;19;22;11;13;10;10;12;137
"150310 Gurupá";1;2;1;1;-;2;2;-;2;-;11
"150320 Igarapé-Açu";6;2;8;6;6;7;5;7;7;5;59
"150330 Igarapé-Miri";4;2;1;7;2;1;6;2;4;1;30
"150340 Inhangapi";1;2;-;1;-;2;1;1;1;4;13
"150345 Ipixuna do Pará";9;5;4;8;3;4;6;3;8;11;61
"150350 Irituia";5;6;3;6;1;8;12;12;11;9;73
"150360 Itaituba";24;27;25;35;44;48;39;50;39;36;367
"150370 Itupiranga";4;7;10;11;8;11;9;6;4;8;78
"150375 Jacareacanga";-;-;2;1;5;3;1;4;1;2;19
"150380 Jacundá";9;14;12;17;11;11;10;6;6;5;101
"150390 Juruti";1;3;2;4;3;5;7;2;5;3;35
"150400 Limoeiro do Ajuru";-;-;-;-;2;-;-;3;-;-;5
"150405 Mãe do Rio";7;7;2;9;9;5;5;8;5;7;64
"150410 Magalhães Barata";1;1;4;3;-;3;1;3;-;2;18
"150420 Marabá";109;115;115;129;123;109;98;111;102;117;1128
"150430 Maracanã";1;-;3;4;6;2;4;-;1;-;21
"150440 Marapanim";2;1;1;4;1;2;1;4;4;4;24
"150442 Marituba";8;13;23;21;15;14;6;9;6;6;121
"150445 Medicilândia";4;6;8;3;7;17;12;8;3;3;71
"150460 Mocajuba";1;-;-;1;1;1;2;4;4;2;16
"150470 Moju";6;9;6;18;15;16;5;13;21;7;116
"150475 Mojuí dos Campos";-;-;-;-;1;1;3;5;3;1;14
"150480 Monte Alegre";9;9;4;7;12;9;10;8;6;11;85
"150490 Muaná";-;1;1;-;2;3;3;1;-;1;12
"150495 Nova Esperança do Piriá";1;7;1;2;2;3;4;4;4;3;31
"150497 Nova Ipixuna";4;2;5;2;-;1;5;3;4;3;29
"150500 Nova Timboteua";1;2;6;2;1;4;2;1;7;5;31
"150503 Novo Progresso";7;8;10;21;11;12;16;16;23;20;144
"150506 Novo Repartimento";17;11;17;18;18;25;21;12;13;11;163
"150510 Óbidos";3;4;3;7;6;11;5;6;4;5;54
"150520 Oeiras do Pará";-;-;-;2;2;-;1;1;3;-;9
"150530 Oriximiná";3;8;3;8;12;8;6;14;5;6;73
"150540 Ourém";5;-;2;-;6;4;4;1;4;2;28
"150543 Ourilândia do Norte";12;6;12;17;5;12;7;15;16;9;111
"150548 Pacajá";8;8;14;14;21;21;13;9;17;6;131
"150549 Palestina do Pará";1;-;2;1;-;8;5;-;2;-;19
"150550 Paragominas";11;16;20;17;19;34;43;41;29;19;249
"150553 Parauapebas";35;43;67;79;67;61;35;36;26;33;482
"150555 Pau D'Arco";2;4;1;5;4;7;1;3;-;1;28
"150560 Peixe-Boi";-;1;-;2;3;5;7;2;2;1;23
"150563 Piçarra";1;1;5;9;-;1;-;3;3;2;25
"150565 Placas";1;3;7;-;3;5;6;3;4;6;38
"150570 Ponta de Pedras";-;2;3;3;-;1;1;1;2;1;14
"150580 Portel";-;3;-;2;3;1;3;2;-;1;15
"150590 Porto de Moz";1;3;-;1;7;1;-;-;1;2;16
"150600 Prainha";5;1;1;3;5;5;4;1;2;6;33
"150610 Primavera";1;1;1;-;1;1;2;2;1;2;12
"150611 Quatipuru";-;-;2;1;2;-;1;-;1;3;10
"150613 Redenção";54;40;61;55;80;67;74;72;74;60;637
"150616 Rio Maria";7;3;4;5;2;2;8;2;8;2;43
"150618 Rondon do Pará";13;11;15;11;16;13;10;7;6;9;111
"150619 Rurópolis";3;9;6;6;5;4;7;4;6;8;58
"150620 Salinópolis";6;4;7;4;6;3;4;5;4;7;50
"150630 Salvaterra";3;3;6;5;4;4;5;7;5;2;44
"150635 Santa Bárbara do Pará";1;4;1;1;-;1;4;6;2;3;23
"150640 Santa Cruz do Arari";-;-;-;-;-;1;-;-;1;2;4
"150650 Santa Izabel do Pará";14;21;19;9;17;10;11;13;13;16;143
"150655 Santa Luzia do Pará";6;-;5;3;12;2;3;4;4;-;39
"150658 Santa Maria das Barreiras";7;5;8;7;4;13;3;8;5;1;61
"150660 Santa Maria do Pará";17;10;5;11;14;9;14;8;6;4;98
"150670 Santana do Araguaia";17;9;14;10;32;15;11;10;19;14;151
"150680 Santarém";60;73;96;78;98;110;87;84;77;86;849
"150690 Santarém Novo";-;-;1;-;2;-;-;1;2;3;9
"150700 Santo Antônio do Tauá";4;1;5;3;7;4;6;6;4;2;42
"150710 São Caetano de Odivelas";-;-;3;-;1;2;1;1;-;5;13
"150715 São Domingos do Araguaia";5;3;4;9;6;18;8;7;6;7;73
"150720 São Domingos do Capim";2;-;-;3;3;2;-;1;3;1;15
"150730 São Félix do Xingu";23;11;7;21;20;17;25;27;27;16;194
"150740 São Francisco do Pará";8;3;5;3;4;5;12;4;5;5;54
"150745 São Geraldo do Araguaia";11;6;8;6;7;5;8;4;5;6;66
"150746 São João da Ponta";-;2;-;3;2;2;2;1;-;1;13
"150747 São João de Pirabas";2;1;1;2;7;-;2;2;5;2;24
"150750 São João do Araguaia";4;2;2;4;9;8;4;2;2;5;42
"150760 São Miguel do Guamá";4;2;3;7;12;3;11;11;9;7;69
"150770 São Sebastião da Boa Vista";-;1;3;-;-;-;1;1;-;-;6
"150775 Sapucaia";4;3;1;-;2;1;-;3;2;1;17
"150780 Senador José Porfírio";2;1;1;1;-;1;-;2;4;5;17
"150790 Soure";1;1;3;1;2;3;-;2;3;2;18
"150795 Tailândia";31;26;17;10;14;20;24;19;24;14;199
"150796 Terra Alta";2;1;6;3;4;2;-;3;2;1;24
"150797 Terra Santa";-;-;1;1;2;1;3;1;1;4;14
"150800 Tomé-Açu";13;9;19;14;11;13;13;8;16;11;127
"150803 Tracuateua";2;3;3;1;3;2;5;3;3;4;29
"150805 Trairão";-;1;-;2;1;1;8;5;11;11;40
"150808 Tucumã";21;17;15;14;11;8;13;10;10;13;132
"150810 Tucuruí";39;40;31;42;58;34;48;50;40;37;419
"150812 Ulianópolis";12;11;13;12;7;8;14;12;6;13;108
"150815 Uruará";7;15;10;11;13;11;11;4;7;10;99
"150820 Vigia";3;6;5;5;10;2;11;10;5;4;61
"150830 Viseu";3;1;4;3;6;10;4;3;4;2;40
"150835 Vitória do Xingu";1;1;5;6;10;11;6;4;9;2;55
"150840 Xinguara";21;12;8;16;12;12;18;18;10;8;135
"160010 Amapá";-;-;-;1;-;-;-;2;-;-;3
"160020 Calçoene";1;7;2;3;3;-;2;1;-;2;21
"160021 Cutias";-;-;1;1;-;-;-;-;-;1;3
"160023 Ferreira Gomes";-;2;2;5;1;1;1;1;1;-;14
"160025 Itaubal";-;1;-;-;-;-;1;-;1;-;3
"160027 Laranjal do Jari";3;1;3;-;4;3;4;2;7;3;30
"160030 Macapá";110;117;104;99;95;76;76;72;53;62;864
"160040 Mazagão";4;1;2;4;-;-;-;1;1;-;13
"160050 Oiapoque";3;6;1;-;2;1;2;2;2;4;23
"160015 Pedra Branca do Amapari";1;2;1;-;1;-;-;-;-;-;5
"160053 Porto Grande";5;3;3;10;7;1;1;1;-;2;33
"160055 Pracuúba";-;-;-;-;2;1;-;-;1;1;5
"160060 Santana";9;6;8;9;13;9;6;4;6;9;79
"160005 Serra do Navio";-;-;-;-;-;2;1;-;-;-;3
"160070 Tartarugalzinho";-;9;-;3;2;-;3;1;-;1;19
"160080 Vitória do Jari";-;-;-;-;2;-;-;-;-;-;2
"170025 Abreulândia";3;1;1;-;2;1;1;-;-;-;9
"170030 Aguiarnópolis";2;-;1;1;2;-;2;2;4;-;14
"170035 Aliança do Tocantins";9;9;7;2;7;6;3;1;5;5;54
"170040 Almas";1;1;1;1;1;1;4;2;3;-;15
"170070 Alvorada";4;7;5;3;12;8;19;6;3;6;73
"170100 Ananás";2;-;3;2;1;2;1;3;1;-;15
"170105 Angico";-;-;-;3;-;-;1;-;-;-;4
"170110 Aparecida do Rio Negro";3;6;3;1;3;-;7;9;1;3;36
"170130 Aragominas";2;1;4;1;-;-;-;2;4;1;15
"170190 Araguacema";1;1;1;-;2;2;2;6;-;1;16
"170200 Araguaçu";1;2;5;-;1;2;-;1;1;2;15
"170210 Araguaína";70;88;81;66;92;85;94;105;79;87;847
"170215 Araguanã";1;-;1;1;6;-;2;1;-;3;15
"170220 Araguatins";8;5;7;4;6;7;2;5;6;-;50
"170230 Arapoema";4;-;2;3;6;2;4;-;2;3;26
"170240 Arraias";1;3;9;5;5;2;3;4;7;4;43
"170255 Augustinópolis";8;16;13;8;4;4;13;8;8;7;89
"170270 Aurora do Tocantins";3;1;1;1;2;2;-;-;-;2;12
"170290 Axixá do Tocantins";2;1;8;2;2;2;2;4;5;4;32
"170300 Babaçulândia";1;2;3;6;4;1;4;6;6;5;38
"170305 Bandeirantes do Tocantins";2;3;1;3;3;1;3;-;4;1;21
"170307 Barra do Ouro";3;2;3;2;2;-;3;-;-;-;15
"170310 Barrolândia";5;9;2;3;3;1;5;1;-;1;30
"170320 Bernardo Sayão";4;6;2;1;2;2;1;1;-;2;21
"170330 Bom Jesus do Tocantins";2;1;-;-;-;2;1;-;5;-;11
"170360 Brasilândia do Tocantins";1;1;-;7;2;4;1;5;2;2;25
"170370 Brejinho de Nazaré";1;5;3;3;1;3;1;3;-;1;21
"170380 Buriti do Tocantins";1;-;-;1;-;1;3;3;2;-;11
"170382 Cachoeirinha";1;-;1;-;-;-;2;-;-;2;6
"170384 Campos Lindos";3;-;1;2;2;3;3;3;1;1;19
"170386 Cariri do Tocantins";7;3;5;4;-;2;2;1;4;6;34
"170388 Carmolândia";2;1;3;4;1;2;2;3;1;-;19
"170389 Carrasco Bonito";-;1;-;-;3;1;-;2;-;-;7
"170390 Caseara";1;-;4;-;3;1;-;1;-;1;11
"170410 Centenário";-;-;-;-;2;-;3;-;2;2;9
"170510 Chapada da Natividade";2;3;-;-;-;-;5;1;4;1;16
"170460 Chapada de Areia";-;-;1;-;1;-;-;-;-;-;2
"170550 Colinas do Tocantins";19;18;22;13;12;11;9;19;11;12;146
"171670 Colméia";3;5;5;-;2;3;2;8;7;-;35
"170555 Combinado";2;2;2;1;-;-;1;1;1;1;11
"170560 Conceição do Tocantins";2;1;-;1;1;-;1;-;1;-;7
"170600 Couto Magalhães";2;-;2;1;1;2;3;6;1;-;18
"170610 Cristalândia";3;2;5;4;1;3;3;5;-;3;29
"170625 Crixás do Tocantins";2;4;1;-;1;-;1;1;1;-;11
"170650 Darcinópolis";3;7;3;3;3;4;2;5;3;2;35
"170700 Dianópolis";5;4;3;8;11;7;11;5;-;5;59
"170710 Divinópolis do Tocantins";3;-;2;10;8;3;6;4;3;2;41
"170720 Dois Irmãos do Tocantins";1;1;-;2;2;1;3;3;1;-;14
"170730 Dueré";2;6;2;3;5;3;1;2;2;2;28
"170740 Esperantina";-;-;-;2;3;2;2;7;3;3;22
"170755 Fátima";1;1;1;-;-;3;1;1;1;-;9
"170765 Figueirópolis";5;1;5;2;2;5;-;2;-;3;25
"170770 Filadélfia";5;4;3;7;2;5;3;-;2;2;33
"170820 Formoso do Araguaia";6;2;7;5;8;9;3;3;2;5;50
"170825 Fortaleza do Tabocão";2;3;4;-;3;4;-;-;5;-;21
"170830 Goianorte";-;3;-;-;-;1;-;3;1;-;8
"170900 Goiatins";4;1;1;4;-;3;2;2;3;-;20
"170930 Guaraí";13;5;14;12;4;18;18;7;11;8;110
"170950 Gurupi";38;41;53;47;42;31;50;67;35;22;426
"170980 Ipueiras";-;-;-;2;-;-;-;1;-;2;5
"171050 Itacajá";1;-;1;1;-;-;-;1;-;-;4
"171070 Itaguatins";-;-;-;2;3;-;-;4;1;-;10
